City|State short|State full|County|City alias|Latitude|Longitude
Macon|GA|Georgia|BIBB|Business Reply Mail|32.7853297|-83.67584599999999
Loganville|GA|Georgia|WALTON|Loganville|33.8389977|-83.90073819999999
Metter|GA|Georgia|CANDLER|Metter|32.397118|-82.0601195
Franklin|GA|Georgia|HEARD|Ctrlhatchee|33.3690045|-85.103554
Byron|GA|Georgia|PEACH|Byron|32.6537561|-83.7596295
Brunswick|GA|Georgia|GLYNN|Everett|31.3905013|-81.63871960000002
Atlanta|GA|Georgia|FULTON|Atlanta|33.7489954|-84.3879824
Ranger|GA|Georgia|GORDON|Ranger|34.5011995|-84.7096571
Martin|GA|Georgia|STEPHENS|Martin|34.4870458|-83.18487809999999
Cornelia|GA|Georgia|HABERSHAM|Cornelia|34.5114883|-83.5271166
Jenkinsburg|GA|Georgia|BUTTS|Jenkinsburg|33.3245628|-84.0357465
Grovetown|GA|Georgia|COLUMBIA|Grovetown|33.4504157|-82.1981764
Avondale Estates|GA|Georgia|DEKALB|Avondale Est|33.7756574|-84.2706359
Lincolnton|GA|Georgia|LINCOLN|Sybert|33.7923477|-82.479018
Austell|GA|Georgia|COBB|Austell|33.8126059|-84.6343783
Atlanta|GA|Georgia|FULTON|Industrial|33.7751975|-84.4018466
Thomasville|GA|Georgia|THOMAS|Gateway|30.8558191|-83.9472007
Fort Benning|GA|Georgia|MUSCOGEE|Camp Rogers|32.3467936|-84.8347751
Tybee Island|GA|Georgia|CHATHAM|Fort Screven|32.0210474|-80.84427699999999
Woodbury|GA|Georgia|MERIWETHER|Woodbury|32.9837394|-84.58270309999999
Springfield|GA|Georgia|EFFINGHAM|Stillwell|32.3642241|-81.30418
Edison|GA|Georgia|CALHOUN|Edison|31.5582271|-84.7382526
Jasper|GA|Georgia|PICKENS|Jasper|34.4695524|-84.4289888
Moultrie|GA|Georgia|COLQUITT|Riverside|31.1811122|-83.8058131
Lincolnton|GA|Georgia|LINCOLN|Loco|33.7222955|-82.5140631
Pembroke|GA|Georgia|BRYAN|Pembroke|32.1360332|-81.6220565
Dublin|GA|Georgia|LAURENS|Lollie|32.4799429|-82.9489242
Sautee Nacoochee|GA|Georgia|WHITE|Sautee Nacoochee|34.6839825|-83.67434999999999
Lookout Mountain|GA|Georgia|WALKER|Lookout Mountain|34.9775757|-85.35773630000001
Young Harris|GA|Georgia|TOWNS|Young Harris|34.9331453|-83.8471223
Marietta|GA|Georgia|COBB|Dobbins Air Force Base|33.9188582|-84.50464509999999
Hillsboro|GA|Georgia|JASPER|Round Oak|33.0986323|-83.7141846
Mitchell|GA|Georgia|GLASCOCK|Mitchell|33.2198688|-82.7031896
Duluth|GA|Georgia|GWINNETT|Berkeley Lake|33.983712|-84.18658479999999
Seville|GA|Georgia|WILCOX|Seville|31.9604535|-83.6010007
Tignall|GA|Georgia|WILKES|Tignall|33.8676229|-82.7412511
Adrian|GA|Georgia|EMANUEL|Adrian|32.5307224|-82.5892995
Chatsworth|GA|Georgia|MURRAY|Chatsworth|34.7659145|-84.7699385
Clyo|GA|Georgia|EFFINGHAM|Clyo|32.4840731|-81.2670507
Atlanta|GA|Georgia|FULTON|Suntrust|33.8010486|-84.4273017
Louisville|GA|Georgia|JEFFERSON|Louisville|33.0015407|-82.4112377
Dearing|GA|Georgia|MCDUFFIE|Dearing|33.41319470000001|-82.3851255
Smyrna|GA|Georgia|COBB|Smyrna|33.8839926|-84.51437609999999
Swainsboro|GA|Georgia|EMANUEL|Gary|32.5677973|-82.32593849999999
Maysville|GA|Georgia|BANKS|Maysville|34.2528839|-83.5615548
Mc Caysville|GA|Georgia|FANNIN|Mccaysville|34.9861914|-84.37131169999999
Perry|GA|Georgia|HOUSTON|Perry|32.4582065|-83.7315723
Dewy Rose|GA|Georgia|ELBERT|Dewy Rose|34.1698309|-82.95291979999999
White|GA|Georgia|BARTOW|White|34.2828722|-84.7452138
Good Hope|GA|Georgia|WALTON|Good Hope|33.7848398|-83.60905749999999
Hiram|GA|Georgia|PAULDING|Hiram|33.8756601|-84.7621592
Ellabell|GA|Georgia|BRYAN|Black Creek|32.1235367|-81.4856673
Newton|GA|Georgia|BAKER|Newton|31.3129575|-84.3357424
Woodland|GA|Georgia|TALBOT|Woodland|32.787356|-84.56186710000001
Townsend|GA|Georgia|MCINTOSH|Ashintilly|31.3831387|-81.4115623
Decatur|GA|Georgia|DEKALB|North Decatur|33.7748275|-84.2963123
Ellijay|GA|Georgia|GILMER|Ellijay|34.6948076|-84.4821498
Palmetto|GA|Georgia|FULTON|Palmetto|33.5178907|-84.66965479999999
Geneva|GA|Georgia|TALBOT|Geneva|32.579862|-84.5507559
Shannon|GA|Georgia|FLOYD|Shannon|34.3431937|-85.0783625
Mount Berry|GA|Georgia|FLOYD|Mount Berry|34.275093|-85.1832843
Waynesboro|GA|Georgia|BURKE|Shell Bluff|33.0898731|-82.0156736
Savannah|GA|Georgia|CHATHAM|Wilmington Is|32.0035477|-80.97372299999999
Surrency|GA|Georgia|APPLING|Surrency|31.7238139|-82.19790119999999
Social Circle|GA|Georgia|WALTON|Social Circle|33.656228|-83.718231
La Fayette|GA|Georgia|WALKER|La Fayette|34.7048022|-85.2818998
